12,"[""Rogers Cup Tennis - Montreal Women's Session 10 at Centre Court"", 'Yale Bulldogs at Howard Bison Basketball', 'OFFICIAL MARKETPLACE: Davis Cup by Rakuten Finals - Belgium vs Australia', 'Dijon FCO vs Angers SCOÂ\xa0Tickets', 'Cagliari Calcio vs U.C. Sampdoria - Coppa Italia']"
1,"['Alcorn State Braves at Texas Southern Tigers Basketball', 'Arkansas State Red Wolves at Appalachian State Mountaineers Basketball', 'Volvo Cars Tennis Open Session 13']"
tester2,"['Arkansas State Red Wolves at Appalachian State Mountaineers Basketball', 'Volvo Cars Tennis Open Session 13', ""Rogers Cup Tennis - Montreal Women's Session 10 at Centre Court"", 'Yale Bulldogs at Howard Bison Basketball', 'OFFICIAL MARKETPLACE: Davis Cup by Rakuten Finals - Belgium vs Australia']"
